,Year,Physics,Chemistry,Physiologyor Medicine,Literature,Peace,Economics(The Sveriges Riksbank Prize)
23,1923,Robert Andrews Millikan,Fritz Pregl,Frederick Banting;John James Rickard Macleod,W. B. Yeats,None,—
24,1924,Manne Siegbahn,None,Willem Einthoven,Władysław Reymont,None,—
25,1925,James Franck;Gustav Ludwig Hertz,Richard Adolf Zsigmondy,None,George Bernard Shaw,Austen Chamberlain;Charles G. Dawes,—
26,1926,Jean Baptiste Perrin,Theodor Svedberg,Johannes Fibiger,Grazia Deledda,Aristide Briand;Gustav Stresemann,—
27,1927,Arthur Compton;Charles Thomson Rees Wilson,Heinrich Otto Wieland,Julius Wagner-Jauregg,Henri Bergson,Ferdinand Buisson;Ludwig Quidde,—
28,1928,Owen Willans Richardson,Adolf Otto Reinhold Windaus,Charles Nicolle,Sigrid Undset,None,—
29,1929,Louis de Broglie,Arthur Harden;Hans von Euler-Chelpin,Christiaan Eijkman;Frederick Gowland Hopkins,Thomas Mann,Frank B. Kellogg,—
30,1930,C. V. Raman,Hans Fischer,Karl Landsteiner,Sinclair Lewis,Nathan Söderblom,—
31,1931,None,Carl Bosch;Friedrich Bergius,Otto Heinrich Warburg,Erik Axel Karlfeldt,Jane Addams;Nicholas Murray Butler,—
32,1932,Werner Heisenberg,Irving Langmuir,Charles Scott Sherrington;Edgar Adrian,John Galsworthy,None,—
33,1933,Erwin Schrödinger;Paul Dirac,None,Thomas Hunt Morgan,Ivan Bunin,Norman Angell,—
34,1934,None,Harold Urey,George Whipple;George Minot;William P. Murphy,Luigi Pirandello,Arthur Henderson,—
35,1935,James Chadwick,Frédéric Joliot-Curie;Irène Joliot-Curie,Hans Spemann,None,Carl von Ossietzky,—
36,1936,Victor Francis Hess;Carl David Anderson,Peter Debye,Henry Hallett Dale;Otto Loewi,Eugene O'Neill,Carlos Saavedra Lamas,—
37,1937,Clinton Davisson;George Paget Thomson,Norman Haworth;Paul Karrer,Albert Szent-Györgyi,Roger Martin du Gard,The Viscount Cecil of Chelwood,—
38,1938,Enrico Fermi,Richard Kuhn [b],Corneille Heymans,Pearl S. Buck,Nansen International Office For Refugees,—
39,1939,Ernest Lawrence,Adolf Butenandt;[b]Leopold Ružička,Gerhard Domagk [b],Frans Eemil Sillanpää,None,—
40,1940,Cancelled due to World War II,—,1941,—,1942,—
41,1943,Otto Stern,George de Hevesy,Henrik Dam;Edward Adelbert Doisy,None,None,—
42,1944,Isidor Isaac Rabi,Otto Hahn,Joseph Erlanger;Herbert Spencer Gasser,Johannes Vilhelm Jensen,International Committee of the Red Cross,—
43,1945,Wolfgang Pauli,Artturi Ilmari Virtanen,Alexander Fleming;Ernst Boris Chain;Howard Florey,Gabriela Mistral,Cordell Hull,—
44,1946,Percy Williams Bridgman,James B. Sumner;John Howard Northrop;Wendell Meredith Stanley,Hermann Joseph Muller,Hermann Hesse,Emily Greene Balch;John Mott,—
45,1947,Edward Victor Appleton,Robert Robinson,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,André Gide,Friends Service Council;American Friends Service Committee,—
46,1948,Patrick Blackett,Arne Tiselius,Paul Hermann Müller,T. S. Eliot,None [c],—
47,1949,Hideki Yukawa,William Giauque,Walter Rudolf Hess;António Egas Moniz,William Faulkner,John Boyd Orr,—
48,1950,C. F. Powell,Otto Diels;Kurt Alder,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,Bertrand Russell,Ralph Bunche,—
49,1951,John Cockcroft;Ernest Walton,Edwin McMillan;Glenn T. Seaborg,Max Theiler,Pär Lagerkvist,Léon Jouhaux,—
50,1952,Felix Bloch;Edward Mills Purcell,Archer John Porter Martin;Richard Laurence Millington Synge,Selman Waksman,François Mauriac,Albert Schweitzer,—
51,1953,Frits Zernike,Hermann Staudinger,Hans Adolf Krebs;Fritz Albert Lipmann,Winston Churchill,George Marshall,—
52,1954,Max Born;Walther Bothe,Linus Pauling,John Franklin Enders;Frederick Chapman Robbins;Thomas Huckle Weller,Ernest Hemingway,United Nations High Commissioner for Refugees,—
53,1955,Willis Lamb;Polykarp Kusch,Vincent du Vigneaud,Hugo Theorell,Halldór Laxness,None,—
54,1956,John Bardeen;Walter Houser Brattain;William Shockley,Cyril Norman Hinshelwood;Nikolay Semyonov,André Frédéric Cournand;Werner Forssmann;Dickinson W. Richards,Juan Ramón Jiménez,None,—
55,1957,Chen Ning Yang;Tsung-Dao Lee,The Lord Todd,Daniel Bovet,Albert Camus,Lester B. Pearson,—
56,1958,Pavel Cherenkov;Ilya Frank;Igor Tamm,Frederick Sanger,George Wells Beadle;Edward Lawrie Tatum;Joshua Lederberg,Boris Pasternak [d],Dominique Pire,—
57,1959,Emilio G. Segrè;Owen Chamberlain,Jaroslav Heyrovský,Arthur Kornberg;Severo Ochoa,Salvatore Quasimodo,Philip Noel-Baker,—
